trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
trip1,25:45:00,25:45:00,405083,1,,0,0,
trip1,25:45:31,25:45:31,405164,2,,0,0,
trip1,25:46:03,25:46:03,401664,3,,0,0,
trip1,25:46:52,25:46:52,401665,4,,0,0,
trip1,25:47:25,25:47:25,401666,5,,0,0,
trip1,25:47:59,25:47:59,401667,6,,0,0,
trip1,25:48:41,25:48:41,404850,7,,0,0,
trip1,25:49:25,25:49:25,401669,8,,0,0,
trip1,25:50:02,25:50:02,401670,9,,0,0,
trip1,25:50:53,25:50:53,402087,10,,0,0,
trip1,25:51:35,25:51:35,402089,11,,0,0,
trip1,25:52:19,25:52:19,402090,12,,0,0,
trip1,25:53:00,25:53:00,404843,13,,0,0,
trip1,25:53:38,25:53:38,401675,14,,0,0,
trip1,25:54:07,25:54:07,401676,15,,0,0,
trip1,25:55:12,25:55:12,401678,16,,0,0,
trip1,25:56:07,25:56:07,401679,17,,0,0,
trip1,25:58:00,25:58:00,401682,18,,0,0,
trip1,25:58:49,25:58:49,405098,19,,0,0,
trip1,25:59:49,25:59:49,401685,20,,0,0,
trip1,26:00:35,26:00:35,401686,21,,0,0,
trip1,26:02:00,26:02:00,401687,22,,0,0,
trip1,26:02:33,26:02:33,401688,23,,0,0,
trip1,26:03:17,26:03:17,401689,24,,0,0,
trip1,26:04:00,26:04:00,401690,25,,0,0,
trip1,26:04:35,26:04:35,401691,26,,0,0,
trip1,26:05:26,26:05:26,404995,27,,0,0,
trip1,26:06:19,26:06:19,404252,28,,0,0,
trip1,26:06:54,26:06:54,403480,29,,0,0,
trip1,26:07:23,26:07:23,401696,30,,0,0,
trip1,26:08:08,26:08:08,401697,31,,0,0,
trip1,26:09:00,26:09:00,401698,32,,0,0,
trip1,26:09:36,26:09:36,401699,33,,0,0,
trip1,26:10:51,26:10:51,401701,34,,0,0,
trip1,26:11:38,26:11:38,401702,35,,0,0,
trip1,26:12:26,26:12:26,401703,36,,0,0,
trip1,26:13:00,26:13:00,401704,37,,0,0,
trip1,26:14:18,26:14:18,404253,38,,0,0,
trip1,26:14:52,26:14:52,401706,39,,0,0,
trip1,26:15:41,26:15:41,401707,40,,0,0,
trip1,26:16:29,26:16:29,401708,41,,0,0,
trip1,26:17:03,26:17:03,401709,42,,0,0,
trip1,26:17:52,26:17:52,401710,43,,0,0,
trip1,26:18:25,26:18:25,401711,44,,0,0,
trip1,26:19:00,26:19:00,401712,45,,0,0,
trip1,26:20:01,26:20:01,405100,46,,0,0,
trip1,26:21:21,26:21:21,401715,47,,0,0,
trip1,26:22:20,26:22:20,401716,48,,0,0,
trip1,26:23:38,26:23:38,401718,49,,0,0,
trip1,26:25:00,26:25:00,404254,50,,0,0,
trip1,26:25:26,26:25:26,401721,51,,0,0,
trip1,26:26:06,26:26:06,401722,52,,0,0,
trip1,26:26:43,26:26:43,401723,53,,0,0,
trip1,26:27:16,26:27:16,401724,54,,0,0,
trip1,26:28:04,26:28:04,401725,55,,0,0,
trip1,26:28:30,26:28:30,401726,56,,0,0,
trip1,26:29:11,26:29:11,401727,57,,0,0,
trip1,26:30:34,26:30:34,401730,58,,0,0,
trip1,26:31:00,26:31:00,401731,59,,0,0,
trip2,25:42:00,25:42:00,903050,1,,0,0,
trip2,25:43:09,25:43:09,904167,2,,0,0,
trip2,25:43:48,25:43:48,503897,3,,0,0,
trip2,25:45:12,25:45:12,503849,4,,0,0,
trip2,25:47:00,25:47:00,503850,5,,0,0,
trip2,25:47:29,25:47:29,503852,6,,0,0,
trip2,25:49:37,25:49:37,904157,7,,0,0,
trip2,25:50:39,25:50:39,503853,8,,0,0,
trip2,25:51:00,25:51:00,503854,9,,0,0,
trip2,25:53:18,25:53:18,503855,10,,0,0,
trip2,25:55:00,25:55:00,504517,11,,0,0,
trip2,25:56:00,25:56:00,503869,12,,0,0,
trip2,25:57:27,25:57:27,504419,13,,0,0,
trip2,25:58:40,25:58:40,505156,14,,0,0,
trip2,25:59:12,25:59:12,503870,15,,0,0,
trip2,26:00:30,26:00:30,503960,16,,0,0,
trip2,26:01:00,26:01:00,504007,17,,0,0,
trip2,26:08:00,26:08:00,403676,18,,0,0,
