trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
trip2,26:10:00,26:10:00,402502,19,,0,0,
trip2,26:10:29,26:10:29,402503,20,,0,0,
trip2,26:10:47,26:10:47,903154,21,,0,0,
trip2,26:11:29,26:11:29,402505,22,,0,0,
trip2,26:11:46,26:11:46,402506,23,,0,0,
trip2,26:13:00,26:13:00,402507,24,,0,0,
trip2,26:13:41,26:13:41,402508,25,,0,0,
trip2,26:14:21,26:14:21,402509,26,,0,0,
trip2,26:14:38,26:14:38,903111,27,,0,0,
trip2,26:16:00,26:16:00,401461,28,,0,0,
trip2,26:16:30,26:16:30,401462,29,,0,0,
trip2,26:18:19,26:18:19,403454,30,,0,0,
trip2,26:19:00,26:19:00,403147,31,,0,0,
trip2,26:20:10,26:20:10,403150,32,,0,0,
trip2,26:21:00,26:21:00,402018,33,,0,0,
trip3,25:30:00,25:30:00,405083,1,,0,0,
trip3,25:30:31,25:30:31,405164,2,,0,0,
trip3,25:31:03,25:31:03,401664,3,,0,0,
trip3,25:31:52,25:31:52,401665,4,,0,0,
trip3,25:32:25,25:32:25,401666,5,,0,0,
trip3,25:32:59,25:32:59,401667,6,,0,0,
trip3,25:33:41,25:33:41,404850,7,,0,0,
trip3,25:34:25,25:34:25,401669,8,,0,0,
trip3,25:35:02,25:35:02,401670,9,,0,0,
trip3,25:35:53,25:35:53,402087,10,,0,0,
trip3,25:36:35,25:36:35,402089,11,,0,0,
trip3,25:37:19,25:37:19,402090,12,,0,0,
trip3,25:38:00,25:38:00,404843,13,,0,0,
trip3,25:38:38,25:38:38,401675,14,,0,0,
trip3,25:39:07,25:39:07,401676,15,,0,0,
trip3,25:40:12,25:40:12,401678,16,,0,0,
trip3,25:41:07,25:41:07,401679,17,,0,0,
trip3,25:43:00,25:43:00,401682,18,,0,0,
trip3,25:43:49,25:43:49,405098,19,,0,0,
trip3,25:44:49,25:44:49,401685,20,,0,0,
trip3,25:45:35,25:45:35,401686,21,,0,0,
trip3,25:47:00,25:47:00,401687,22,,0,0,
trip3,25:47:33,25:47:33,401688,23,,0,0,
trip3,25:48:17,25:48:17,401689,24,,0,0,
trip3,25:49:00,25:49:00,401690,25,,0,0,
trip3,25:49:35,25:49:35,401691,26,,0,0,
trip3,25:50:26,25:50:26,404995,27,,0,0,
trip3,25:51:19,25:51:19,404252,28,,0,0,
trip3,25:51:54,25:51:54,403480,29,,0,0,
trip3,25:52:23,25:52:23,401696,30,,0,0,
trip3,25:53:08,25:53:08,401697,31,,0,0,
trip3,25:54:00,25:54:00,401698,32,,0,0,
trip3,25:54:36,25:54:36,401699,33,,0,0,
trip3,25:55:51,25:55:51,401701,34,,0,0,
trip3,25:56:38,25:56:38,401702,35,,0,0,
trip3,25:57:26,25:57:26,401703,36,,0,0,
trip3,25:58:00,25:58:00,401704,37,,0,0,
trip3,25:59:18,25:59:18,404253,38,,0,0,
trip3,25:59:52,25:59:52,401706,39,,0,0,
trip3,26:00:41,26:00:41,401707,40,,0,0,
trip3,26:01:29,26:01:29,401708,41,,0,0,
trip3,26:02:03,26:02:03,401709,42,,0,0,
trip3,26:02:52,26:02:52,401710,43,,0,0,
trip3,26:03:25,26:03:25,401711,44,,0,0,
trip3,26:04:00,26:04:00,401712,45,,0,0,
trip3,26:05:01,26:05:01,405100,46,,0,0,
trip3,26:06:21,26:06:21,401715,47,,0,0,
trip3,26:07:20,26:07:20,401716,48,,0,0,
trip3,26:08:38,26:08:38,401718,49,,0,0,
trip3,26:10:00,26:10:00,404254,50,,0,0,
trip3,26:10:26,26:10:26,401721,51,,0,0,
trip3,26:11:06,26:11:06,401722,52,,0,0,
trip3,26:11:43,26:11:43,401723,53,,0,0,
trip3,26:12:16,26:12:16,401724,54,,0,0,
trip3,26:13:04,26:13:04,401725,55,,0,0,
trip3,26:13:30,26:13:30,401726,56,,0,0,
trip3,26:14:11,26:14:11,401727,57,,0,0,
trip3,26:15:34,26:15:34,401730,58,,0,0,
trip3,26:16:00,26:16:00,401731,59,,0,0,
